"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"mu1.1",2.048,0,0.005,2.039,2.048,2.048,2.048,2.058,466,1.006,1,2.039,2.048,2.058,0,0,0,0,0,0,483,521
"mu1.2",54.652,0.003,0.062,54.567,54.653,54.653,54.653,54.798,491,1.006,1,54.567,54.653,54.798,0.041,0,0,0,0,0.002,485,545
"mu2.1",4.283,0,0.004,4.276,4.284,4.284,4.284,4.291,455,1.009,1,4.276,4.284,4.291,0.001,0,0,0,0,0,484,545
"mu2.2",79.923,0.002,0.051,79.836,79.932,79.932,79.932,79.994,449,1.009,1,79.836,79.932,79.994,0,0,0,0,0,0.002,483,521
"sigma1.1.1",0.091,0.001,0.014,0.067,0.081,0.09,0.099,0.121,631,1,1,0.07,0.09,0.115,0.001,0.001,0.001,0.001,0.001,0,633,669
"sigma1.2.1",0.471,0.007,0.183,0.107,0.351,0.466,0.59,0.86,749,1.007,1,0.185,0.466,0.777,0.028,0.008,0.008,0.01,0.02,0.005,750,740
"sigma1.1.2",0.471,0.007,0.183,0.107,0.351,0.466,0.59,0.86,749,1.007,1,0.185,0.466,0.777,0.028,0.008,0.008,0.01,0.02,0.005,750,740
"sigma1.2.2",34.535,0.191,5.035,26.064,30.973,34.185,37.561,45.806,648,0.999,1,27.031,34.185,43.768,0.226,0.214,0.228,0.269,0.564,0.135,678,614
"sigma2.1.1",0.181,0.001,0.021,0.146,0.166,0.181,0.195,0.226,682,1.001,1,0.15,0.181,0.215,0.002,0.001,0.001,0.001,0.002,0.001,691,732
"sigma2.1.2",0.942,0.009,0.222,0.552,0.775,0.937,1.077,1.43,668,1,1,0.618,0.937,1.335,0.02,0.009,0.01,0.01,0.035,0.006,678,698
"sigma2.2.1",0.942,0.009,0.222,0.552,0.775,0.937,1.077,1.43,668,1,1,0.618,0.937,1.335,0.02,0.009,0.01,0.01,0.035,0.006,678,698
"sigma2.2.2",36.249,0.159,4.041,29.087,33.499,35.892,38.265,45.078,628,0.998,1,30.219,35.892,43.387,0.189,0.153,0.177,0.358,0.58,0.113,642,678
"alpha1",0.361,0.001,0.03,0.307,0.34,0.359,0.381,0.417,784,1,1,0.314,0.359,0.409,0.002,0.001,0.001,0.002,0.005,0.001,792,717
"alpha2",0.639,0.001,0.03,0.583,0.619,0.641,0.66,0.693,784,1,1,0.591,0.641,0.686,0.006,0.002,0.001,0.001,0.003,0.001,792,717
